Server-Analyse (nur lesend)
Datei    : TRIN__02_salestype_restliste.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 11:20:41
Statements: 6

=== Runde 2: Verteilung des Sales Type und die Restliste fuer RanVijay ===
SALES_TYPE | VENDOR | ARTIKEL | RECHNUNGSZEILEN
FFM | ohne Vendor | 1184 | 5830
LRD | mit Vendor | 93 | 454
-- | ohne Vendor | 65 | 112
-- | mit Vendor | 64 | 264
LRD | ohne Vendor | 30 | 256
FFM | mit Vendor | 10 | 78
CM | ohne Vendor | 2 | 23
NULL | ohne Vendor | 1 | 1
-- 8 Zeile(n), 311 ms

=== 2 RESTLISTE: Artikel, die einen Preferred Vendor brauchen und keinen haben ===
ARTIKEL | BEZEICHNUNG | SALES_TYPE | RECHNUNGSZEILEN | MENGE
F60047 | Protection tube  Brass 8316  G=150K with accessories | -- |  | 1
ID34626 With Mars Cover | Cover Assembly With Cable Gland M25X1.5 | -- |  | 1
F60051 | PROTECTION TUBE SS 8411 G=150K with accessories | -- |  | 1
F60091 | Special Protection tube IL=48mm, with Fastening Screw | -- |  | 1
F60090 | Protection tube  Brass 1217  G=110 K with accessories | -- |  | 1
F60052 | PROTECTION TUBE SS 8411 G=200K with accessories | -- |  | 1
IR64282 | Protection tube 1411 L=150 mm | -- |  | 1
SM000044 | Suppressor Capacitor | -- |  | 1
R65160 | Fixation nut M10 | -- | V0078 | 1
H05240 | Bellow Sleeve Quader Block Pac BK14 20 (NG15 SS) | -- |  | 1
SM000043 | Protection Glass (Small) | -- |  | 1
SM000042 | Protection Glass (Large) | -- |  | 1
SM000041 | Mixture gas Regulator | -- |  | 1
SM000039 | Adaptor for flow meter tubing | -- |  | 1
SM000038 | Timer for welding machine | -- |  | 1
R13025 | Housing LP Industat light grey | -- | V0443 | 1
IR64705 | Protection tube 8411 L=150 mm | -- |  | 1
2100230 | Adaptor SS-316 (1/2BSP(M)x1/2NPT(M) | -- | V0058 | 1
2100429 | "Manifold 5 valve 1/2 NPT(F) x1/2NPT(F) SS316 drain 1/2""NPT(F)" | -- |  | 1
R23019 | Housing plastic for Alterostat-Duostat | -- |  | 1
5100197 | Thermowell SS316L IL - 400mm | -- | V0034 | 1
IR13011 | Cover Assembly for Ministat Limistat | -- |  | 1
2100062 | Adaptor SS-316 ( 1/8 BSP(M)x1/4NPT(F) | -- |  | 1
E00692 | PCB Plug Connector 2X3 pin | -- |  | 1
ID15013 | Distance Bush | -- | V0016 | 1
IR13010 | Cover Assembly for Ministat Internal Adjustment | -- |  | 1
E01382 | SWITCH SAIA XCC3Z8 M.OES (>18..<60µm) | -- | V0078 | 1
IE01830 | Female Connector DIN43650-A_PG11 | -- | V0037 | 1
B55555 | Plastic scarp | -- |  | 1
IC28302 | Mounting Flange | -- | V0056 | 1
IK80105 | Closing Mechanism clamp assembly | -- |  | 1
2100235 | "Adaptor SS-316 , 1/4BSP(M)x1/4NPT(M)" | -- | V0034 | 1
IR85059 | Closing Pin for Sensor Bulb | -- | V0058 | 1
FA000048 | MANUAL STACKER CUMI 1016 | NULL |  | 1
IC17508 | Tube bottom Density monitor | -- | V0054 | 1
SM000022 | Relay C2-A20 | -- |  | 1
SM000021 | Main Contactor 230V  DIL 00M | -- |  | 1
SM000020 | Main Switch Typ AT08A197 | -- |  | 1
SM000019 | Motor Brush Typ Bu-004 | -- |  | 1
D85020 | Bellows NG10 (density monitor) | -- | V0078 | 1
R64016 | PERFORATED PIPE D17 L=215MM Steel | -- | V0078 | 1
F60059 | Protection tube  Brass nickel plated 8318  G=150K | -- |  | 1
K16512 | ScrewTaptite M3x8 | -- | V0078 | 1
R15132 | Arestor(Switching Point Locking) | -- | V0078 | 1
R15106 | FASTENING SCREW M5X15 | -- | V0078 | 1
R15205 | Support for MS | -- | V0078 | 1
2100416 | Screw M5x12 (Mounting bracket fixing) | -- | V0066 | 1
2100025 | Mounting Plate for PS | -- | V0058 | 1
2100107 | Adaptor SS-316 1/4BSP(M)x3/8BSP(M) | -- |  | 1
F51216 | Protection Tube 1216 G=415mm with accessories | -- |  | 1
R64007 | PERFOR.PIPE D17 L=605 MM BRASS | -- | V0078 | 1
