Server-Analyse (nur lesend)
Datei    : TRIN__04_matnr_bruecke.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 14:18:12
Statements: 3

=== Runde 4: Gibt es auf dem indischen Artikel die Trafag-Materialnummer? ===
SALES_TYPE | ARTIKEL | MIT_OMN | MIT_ORDERING_CODE | MIT_CUSTOMER_PN | MIT_DRAWING_NO
FFM | 1194 | 1037 | 1189 | 215 | 61
-- | 129 | 96 | 1 | 7 | 2
LRD | 123 | 121 | 119 | 72 | 11
CM | 2 | 0 | 0 | 0 | 2
NULL | 1 | 0 | 0 | 0 | 0
-- 5 Zeile(n), 538 ms

=== 2 Alle LRD-Artikel mit ihren Nummern - Grundlage fuer den Abgleich mit GroupStandardCosts ===
ARTIKEL | MATERIAL_NO | ORDERING_CODE | VENDOR | RECHNUNGSZEILEN
DM000234 | 64155 | 8782.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 | V0078 | 2
DM000113 | 62496 | 8782.20.2551.Y1.0000.0000.11.60.61.U1.01.01.01 | V0078 | 2
PT000071 | 50175 | 8293.78.2351.04.0000.0000.19 | V0078 | 1
DM000162 | 63332 | 8746.20.2310.Y1.0000.0000.08.60.61.C5.U1.01.01 |  | 1
PT000053 | 35468 | 8293.78.1017.04.0000.0000.19.58.92.01 | V0078 | 1
DM000295 | 65026 | 8783.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 | V0078 | 1
PT000031 | 62725 | 8287.82.2510.05.0000.0000.19.58.44 | V0078 | 1
PT000032 | 48444 | 8287.82.2517.05.0000.0000.19.44.58.61 | V0078 | 1
PT000055 | 53863 | 8380.68.5717.35.0000.0000.PA44.61.P1.ZS.Z1.Z2 |  | 1
DM000187 | 59326 | 8783.20.2551.Y1.0000.0000.11.60.61.U1.01.01 | V0078 | 1
PT000070 | 27150 | 8202.77.2210.31.0000.0000.D2 | V0078 | 1
PT000069 | 49924 | 8293.78.2330.05.0000.0000.19.58 | V0078 | 1
FA000029 |  |  |  | 1
FA000028 |  |  |  | 1
PS000896 | 65455 | 9R5.8A11.B10.11.0000.0000.05.UB.V2.46.63.LC | V0078 | 1
DM000126 | 62729 | 8782.20.2801.Y1.0000.0000.13.00.00.01 | V0078 | 1
PT000073 | 56718 | 8252.86.2515.32.0000.0000.19.61 | V0078 | 1
PT000051 | 63435 | 8472.27.5717.05.0000.0000.17.58.61.T2 | V0078 | 1
PS000351 | 40281 | 9B0.2076.753.04.11.15.16.58.74.88.V3 | V0078 | 1
PT000047 | 62984 | 8478.66.5417.05.0000.0000.19.58.61 | V0078 | 1
PS000929 | 31070 | 9B0.2079.751.04.0000.0000.15.58.V3 | V0078 | 1
PT000077 | 65716 | 8283.79.2553.05.0000.0000.19.58.63 | V0078 | 1
PT000075 | 45254 | 8252.82.2517.01.0000.0000.19.34.44.61 | V0078 | 1
PT000074 | 57413 | 8271.74.2517.35.0000.0000.51.44.61.ZS | V0078 | 1
DM000326 | 65643 | 8782.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01 | V0078 | 1
PT000076 | 27355 | 8202.77.2210 | V0078 | 1
DM000345 | 65987 | 8774 51 11B4 04 0000 0000 58 | V0078 | 1
PT000062 | 64571 | 8256.74.2330.32.0000.0000.19.33.44 | V0078 | 1
PS000791 | 44800 | 9K4.4279.756.04.0000.0000.15.46.V3 | V0078 | 1
PS000776 | 31508 | 9M0.2079.761.04.0000.0000.11.15.58.74.V3 | V0078 | 1
PS000783 | 33301 | 900.9177.853.00.0000.0000.02 | V0078 | 1
DM000217 | 61718 | 8726.20.2310.Y1.0000.0000.08.60.61.C5.U2.01.01 | V0078 | 1
